Compliance Year,RIN Year,Categories,Fuel (D Code),Assignment,Total RINs
"2025","2021","RIN Owner","D6","Separated","241,845,161"
"2025","2020","Exporter","D3","Separated","2,655,947"
"2025","2020","Exporter","D4","Separated","22,924,566"
"2025","2020","Exporter","D5","Separated","425,215"
"2025","2020","Exporter","D6","Separated","75,106,021"
"2025","2020","Obligated Party","D3","Separated","3,731,828"
"2025","2020","Obligated Party","D4","Separated","29,494,507"
"2025","2020","Obligated Party","D5","Separated","9,919,387"
"2025","2020","Obligated Party","D6","Separated","142,474,190"
"2025","2020","RIN Owner","D3","Separated","4,600,801"
"2025","2020","RIN Owner","D4","Separated","16,984,133"
"2025","2020","RIN Owner","D5","Separated","13,671,915"
"2025","2020","RIN Owner","D6","Separated","147,160,676"
"2025","2019","Exporter","D3","Separated","1,012,791"
"2025","2019","Exporter","D4","Separated","10,251,608"
"2025","2019","Exporter","D6","Separated","21,806,712"
"2025","2019","Obligated Party","D3","Separated","932,957"
"2025","2019","Obligated Party","D4","Separated","1,557,528"
"2025","2019","Obligated Party","D6","Separated","7,323"
"2025","2019","RIN Owner","D3","Separated","7,437,873"
"2025","2019","RIN Owner","D4","Separated","57,044,630"
"2025","2019","RIN Owner","D5","Separated","366,624"
"2025","2019","RIN Owner","D6","Separated","214,374,864"
"2025","2018","RIN Owner","D3","Separated","654,492"
"2025","2018","RIN Owner","D4","Separated","10,414,493"
"2025","2018","RIN Owner","D6","Separated","17,289,955"
"2024","2024","Exporter","D3","Separated","480,165,999"
"2024","2024","Exporter","D3","Assigned","17,407,730"
"2024","2024","Exporter","D4","Separated","3,332,244,396"
"2024","2024","Exporter","D4","Assigned","2,349,660,367"
"2024","2024","Exporter","D5","Assigned","57,914,060"
"2024","2024","Exporter","D5","Separated","11,193,631"
"2024","2024","Exporter","D6","Assigned","9,812,297,302"
"2024","2024","Exporter","D6","Separated","2,090,064,654"
"2024","2024","Obligated Party","D3","Separated","743,539,311"
"2024","2024","Obligated Party","D4","Separated","5,731,809,157"
"2024","2024","Obligated Party","D4","Assigned","617,100,894"
"2024","2024","Obligated Party","D5","Separated","121,096,266"
"2024","2024","Obligated Party","D5","Assigned","7,756,055"
"2024","2024","Obligated Party","D6","Separated","12,389,590,026"
"2024","2024","Obligated Party","D6","Assigned","2,097,932,879"
"2024","2024","RIN Originator","D3","Separated","814,697,417"
"2024","2024","RIN Originator","D3","Assigned","41,594,660"
"2024","2024","RIN Originator","D4","Assigned","3,746,165,981"
"2024","2024","RIN Originator","D4","Separated","1,507,148,741"
"2024","2024","RIN Originator","D5","Assigned","36,751,239"
"2024","2024","RIN Originator","D5","Separated","9,999,164"
