Transfer Date by Week,Transfer Year,RIN Year,Fuel (D Code),Assignment,QAP Type,Total RINs Traded
"1/23/2017","2017","2017","D6","Separated","Unverified","95,018,781"
"1/30/2017","2017","2015","D6","Separated","Q-RIN","51,933"
"1/30/2017","2017","2015","D6","Separated","Unverified","4,005,140"
"1/30/2017","2017","2016","D6","Assigned","Unverified","12,375,234"
"1/30/2017","2017","2016","D6","Separated","Q-RIN","500,000"
"1/30/2017","2017","2016","D6","Separated","Unverified","213,326,836"
"1/30/2017","2017","2017","D6","Assigned","Q-RIN","38,049,748"
"1/30/2017","2017","2017","D6","Assigned","Unverified","484,078,061"
"1/30/2017","2017","2017","D6","Separated","Q-RIN","16,978"
"1/30/2017","2017","2017","D6","Separated","Unverified","127,055,833"
"2/6/2017","2017","2015","D6","Separated","Q-RIN","919,414"
"2/6/2017","2017","2015","D6","Separated","Unverified","4,548,546"
"2/6/2017","2017","2016","D6","Assigned","Q-RIN","31,931"
"2/6/2017","2017","2016","D6","Assigned","Unverified","6,050,929"
"2/6/2017","2017","2016","D6","Separated","Unverified","69,183,382"
"2/6/2017","2017","2017","D6","Assigned","Q-RIN","35,890,634"
"2/6/2017","2017","2017","D6","Assigned","Unverified","440,836,571"
"2/6/2017","2017","2017","D6","Separated","Unverified","155,340,228"
"2/13/2017","2017","2015","D6","Assigned","Q-RIN","33,960"
"2/13/2017","2017","2015","D6","Assigned","Unverified","424,873"
"2/13/2017","2017","2015","D6","Separated","Unverified","3,769,820"
"2/13/2017","2017","2016","D6","Assigned","Unverified","401,063"
"2/13/2017","2017","2016","D6","Separated","Q-RIN","2,675,413"
"2/13/2017","2017","2016","D6","Separated","Unverified","38,163,789"
"2/13/2017","2017","2017","D6","Assigned","Q-RIN","40,483,680"
"2/13/2017","2017","2017","D6","Assigned","Unverified","472,687,792"
"2/13/2017","2017","2017","D6","Separated","Unverified","137,786,991"
"2/20/2017","2017","2015","D6","Assigned","Q-RIN","24,040"
"2/20/2017","2017","2016","D6","Assigned","Unverified","789,267"
"2/20/2017","2017","2016","D6","Separated","Q-RIN","2,675,413"
"2/20/2017","2017","2016","D6","Separated","Unverified","78,605,806"
"2/20/2017","2017","2017","D6","Assigned","Q-RIN","40,442,460"
"2/20/2017","2017","2017","D6","Assigned","Unverified","445,282,336"
"2/20/2017","2017","2017","D6","Separated","Q-RIN","1,000,000"
"2/20/2017","2017","2017","D6","Separated","Unverified","189,196,888"
"2/27/2017","2017","2015","D6","Separated","Q-RIN","1,181,767"
"2/27/2017","2017","2015","D6","Separated","Unverified","4,919,485"
"2/27/2017","2017","2016","D6","Assigned","Unverified","151,680"
"2/27/2017","2017","2016","D6","Separated","Q-RIN","205,649"
"2/27/2017","2017","2016","D6","Separated","Unverified","128,651,268"
"2/27/2017","2017","2017","D6","Assigned","Q-RIN","40,865,077"
"2/27/2017","2017","2017","D6","Assigned","Unverified","460,192,833"
"2/27/2017","2017","2017","D6","Separated","Q-RIN","210,000"
"2/27/2017","2017","2017","D6","Separated","Unverified","236,018,093"
"3/6/2017","2017","2015","D6","Separated","Q-RIN","61,795"
"3/6/2017","2017","2015","D6","Separated","Unverified","3,489,625"
"3/6/2017","2017","2016","D6","Separated","Q-RIN","688,502"
"3/6/2017","2017","2016","D6","Separated","Unverified","127,027,208"
"3/6/2017","2017","2017","D6","Assigned","Q-RIN","38,409,111"
"3/6/2017","2017","2017","D6","Assigned","Unverified","460,380,870"
"3/6/2017","2017","2017","D6","Separated","Unverified","204,445,266"
"3/13/2017","2017","2015","D6","Separated","Q-RIN","61,795"
"3/13/2017","2017","2015","D6","Separated","Unverified","620,502"
"3/13/2017","2017","2016","D6","Separated","Q-RIN","7,801"
"3/13/2017","2017","2016","D6","Separated","Unverified","134,908,258"
"3/13/2017","2017","2017","D6","Assigned","Q-RIN","47,220,916"
"3/13/2017","2017","2017","D6","Assigned","Unverified","457,315,309"
"3/13/2017","2017","2017","D6","Separated","Q-RIN","7,850"
"3/13/2017","2017","2017","D6","Separated","Unverified","327,745,018"
"3/20/2017","2017","2015","D6","Assigned","Q-RIN","725,110"
"3/20/2017","2017","2015","D6","Assigned","Unverified","15,053,730"
"3/20/2017","2017","2015","D6","Separated","Q-RIN","772,724"
"3/20/2017","2017","2015","D6","Separated","Unverified","19,843,626"
"3/20/2017","2017","2016","D6","Assigned","Q-RIN","175"
"3/20/2017","2017","2016","D6","Separated","Q-RIN","4,425,000"
"3/20/2017","2017","2016","D6","Separated","Unverified","86,244,165"
"3/20/2017","2017","2017","D6","Assigned","Q-RIN","40,889,839"
"3/20/2017","2017","2017","D6","Assigned","Unverified","462,510,580"
"3/20/2017","2017","2017","D6","Separated","Q-RIN","8,064,025"
"3/20/2017","2017","2017","D6","Separated","Unverified","375,684,422"
"3/27/2017","2017","2015","D6","Assigned","Q-RIN","109"
"3/27/2017","2017","2015","D6","Assigned","Unverified","471,053"
"3/27/2017","2017","2015","D6","Separated","Q-RIN","139,219"
"3/27/2017","2017","2015","D6","Separated","Unverified","19,789,046"
"3/27/2017","2017","2016","D6","Assigned","Q-RIN","234,520"
"3/27/2017","2017","2016","D6","Assigned","Unverified","589,443"
"3/27/2017","2017","2016","D6","Separated","Q-RIN","1,246,537"
"3/27/2017","2017","2016","D6","Separated","Unverified","683,563,801"
"3/27/2017","2017","2017","D6","Assigned","Q-RIN","47,148,187"
"3/27/2017","2017","2017","D6","Assigned","Unverified","452,084,166"
"3/27/2017","2017","2017","D6","Separated","Q-RIN","11,231"
"3/27/2017","2017","2017","D6","Separated","Unverified","368,979,162"
"4/3/2017","2017","2016","D6","Assigned","Unverified","1,370,842"
"4/3/2017","2017","2016","D6","Separated","Q-RIN","627,135"
"4/3/2017","2017","2016","D6","Separated","Unverified","24,950,020"
"4/3/2017","2017","2017","D6","Assigned","Q-RIN","43,943,317"
"4/3/2017","2017","2017","D6","Assigned","Unverified","435,357,822"
"4/3/2017","2017","2017","D6","Separated","Q-RIN","351,017"
"4/3/2017","2017","2017","D6","Separated","Unverified","214,484,028"
"4/10/2017","2017","2015","D6","Separated","Unverified","1,001"
"4/10/2017","2017","2016","D6","Separated","Unverified","3,936,633"
"4/10/2017","2017","2017","D6","Assigned","Q-RIN","36,590,138"
"4/10/2017","2017","2017","D6","Assigned","Unverified","453,552,518"
"4/10/2017","2017","2017","D6","Separated","Q-RIN","50,173"
"4/10/2017","2017","2017","D6","Separated","Unverified","246,478,505"
"4/17/2017","2017","2015","D6","Separated","Unverified","7,393"
"4/17/2017","2017","2016","D6","Assigned","Unverified","8,086"
